msg_id,date,title,brand,category,price,sizes,stock,description
32552,2026-06-07,Рубашка поло Bape,BAPE,Tee,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32545,2026-06-07,Рубашка поло Comme des Garçons,Other,Tee,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32537,2026-06-07,Рубашка поло Comme des Garçons,Other,Tee,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32529,2026-06-07,Рубашка поло Comme des Garçons,Other,Tee,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32519,2026-06-06,Футболка Skims Chanel,Other,Tee,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок/вискоза
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32509,2026-06-06,Футболка Skims Chanel,Other,Tee,1300.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок/вискоза
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32500,2026-06-06,Футболка Maison Margiela,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32493,2026-06-06,Футболка Supreme,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32482,2026-06-06,Футболка Supreme,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32475,2026-06-05,РАСПРОДАЖА ЛОНГИ,Corteiz,Longsleeve,1000.0,—,1,"Цена не 1000₽, как сказано в видео, а всего лишь 900₽ шт!
Лонгслив Y-3 Mastermind M
Лонгслив Corteiz M
Лонгслив Martine Rose XL"
32474,2026-06-05,РАСПРОДАЖА ПО ФУТБОЛКАМ,Corteiz,Tee,700.0,—,1,"ЦЕНА - 700₽ за любую из моделей
-Футболка Balenciaga M
-Футболка Acne Studios M
-Футболка FOG NBA L"
32462,2026-06-04,Футболка Bape Mastermind,BAPE,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32454,2026-06-04,Футболка Yohji Yamamoto,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32451,2026-06-04,Без слов 🤫,Other,Other,1000.0,—,1,"Товаров много не бывает, объявлений тоже много не бывает и категорий товаров много не бывает ✌🏻
Цены на товары ниже плинтуса, а минимальный ОПТОВЫЙ ЗАКАЗ 1000₽
Посмотреть новый оптовый магаз"
32450,2026-06-04,"Краткий обзор того, что вы получаете всего за 1250₽ 🤯",Other,Other,1250.0,—,1,
32448,2026-06-04,РАСПРОДАЖА С ПОЛУЗАМКАМИ,Valentino,Hoodie,1250.0,—,1,"Старые цены:
Опт 1750
Дроп 2100
Цена СЕЙЧАС поштучно:"
32442,2026-06-04,РАСПРОДАЖА С ХУДИ,Balenciaga,Hoodie,1400.0,—,1,"Старые цены:
Опт 1800-1850
Дроп 2300-2700
Цена СЕЙЧАС поштучно:"
32428,2026-06-02,Футболка Maison Margiela BAPE,BAPE,Tee,1100.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32418,2026-06-02,Футболка Champion,Champion,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
